title,index
"to wong foo, thanks for everything! julie newmar",119
unstrung heroes,120
a walk in the clouds,121
burnt by the sun,122
before the rain,123
before sunrise,124
billy madison,125
boys on the side,126
the cure,127
circle of friends,128
clerks,129
don juan demarco,130
death and the maiden,131
dolores claiborne,132
dumb and dumber,133
eat drink man woman,134
exotica,135
ed wood,136
french kiss,137
forget paris,138
a goofy movie,139
fluke,140
hoop dreams,141
heavenly creatures,142
immortal beloved,143
interview with the vampire,144
star wars,145
little women,146
a little princess,147
ladybird ladybird,148
l'enfer,149
like water for chocolate,150
legends of the fall,151
major payne,152
little odessa,153
losing isaiah,154
the madness of king george,155
mary shelley's frankenstein,156
miracle on 34th street,157
my family,158
murder in the first,159
nobody's fool,160
nell,161
new jersey drive,162
nina takes a lover,163
natural born killers,164
only you,165
once were warriors,166
outbreak,167
leon: the professional,168
the perez family,169
a pyromaniac's love story,170
pulp fiction,171
panther,172
pushing hands,173
priest,174
quiz show,175
picture bride,176
queen margot,177
the quick and the dead,178
roommates,179
three colors: red,180
three colors: blue,181
three colors: white,182
"red firecracker, green firecracker",183
the swan princess,184
the secret of roan inish,185
stargate,186
the santa clause,187
the shawshank redemption,188
shallow grave,189
strawberry and chocolate,190
swimming with sharks,191
to live,192
tales from the crypt: demon knight,193
star trek: generations,194
tommy boy,195
vanya on 42nd street,196
the walking dead,197
what's eating gilbert grape,198
while you were sleeping,199
the war,200
muriel's wedding,201
ace ventura: pet detective,202
"the adventures of priscilla, queen of the desert",203
backbeat,204
bitter moon,205
bullets over broadway,206
clear and present danger,207
the client,208
"corrina, corrina",209
crooklyn,210
the crow,211
cobb,212
forrest gump,213
four weddings and a funeral,214
higher learning,215
i like it like that,216
it could happen to you,217
"the wonderful, horrible life of leni riefenstahl",218
the lion king,219
new nightmare,220
the mask,221
maverick,222
mrs. parker and the vicious circle,223
the naked gun 33⅓: the final insult,224
the paper,225
reality bites,226
red rock west,227
the river wild,228
speed,229
true lies,230
wyatt earp,231
a man of no importance,232
s.f.w.,233
"faster, pussycat! kill! kill!",234
the secret adventures of tom thumb,235
coldblooded,236
fall time,237
frank and ollie,238
girl in the cadillac,239
in the mouth of madness,240
8 seconds,241
above the rim,242
addams family values,243
the age of innocence,244
barcelona,245
black beauty,246
blink,247
blue sky,248
a bronx tale,249
carlito's way,250
cliffhanger,251
dave,252
dazed and confused,253
demolition man,254
the endless summer 2,255
farewell my concubine,256
fearless,257
with honors,258
flesh and bone,259
the firm,260
fresh,261
the fugitive,262
hard target,263
heaven & earth,264
hot shots! part deux,265
the englishman who went up a hill but came down a mountain,266
the house of the spirits,267
the hudsucker proxy,268
in the line of fire,269
in the name of the father,270
what's love got to do with it,271
judgment night,272
jurassic park,273
kalifornia,274
killing zoe,275
king of the hill,276
lassie,277
last action hero,278
m. butterfly,279
the man without a face,280
manhattan murder mystery,281
menace ii society,282
in the realm of the senses,283
what happened was...,284
much ado about nothing,285
mrs. doubtfire,286
naked,287
no escape,288
orlando,289
a perfect world,290
philadelphia,291
the piano,292
poetic justice,293
the ref,294
the remains of the day,295
robin hood: men in tights,296
romper stomper,297
rudy,298
savage nights,299
schindler's list,300
searching for bobby fischer,301
the secret garden,302
serial mom,303
shadowlands,304
short cuts,305
six degrees of separation,306
sleepless in seattle,307
blade runner,308
so i married an axe murderer,309
surviving the game,310
thirty two short films about glenn gould,311
threesome,312
the nightmare before christmas,313
the three musketeers,314
tombstone,315
true romance,316
the war room,317
the pagemaster,318
welcome to the dollhouse,319
germinal,320
cronos,321
kika,322
the slingshot,323
"ciao, professore!",324
the little rascals,325
the celluloid closet,326
café au lait,327
dear diary,328
home alone,329
ghost,330
aladdin,331
terminator 2: judgment day,332
dances with wolves,333
tough and deadly,334
batman,335
the silence of the lambs,336
snow white and the seven dwarfs,337
beauty and the beast,338
pinocchio,339
pretty woman,340
the wild bunch,341
the wooden man's bride,342
a great day in harlem,343
bye bye love,344
one fine day,345
fargo,346
heavy metal,347
jane eyre,348
bread and chocolate,349
the aristocats,350
the flower of my secret,351
scream of stone,352
my favorite season,353
halfaouine: boy of the terraces,354
the last supper,355
primal fear,356
land and freedom,357
denise calls up,358
nelly and monsieur arnaud,359
courage under fire,360
mission: impossible,361
cold fever,362
moll flanders,363
"301, 302",364
dragonheart,365
purple noon,366
james and the giant peach,367
fear,368
underground,369
all things fair,370
pather panchali,371
the world of apu,372
mystery science theater 3000: the movie,373
space jam,374
hostile intentions,375
some folks call it a sling blade,376
the run of the country,377
alphaville,378
coup de torchon,379
tigrero: a film that was never made,380
it's my party,381
country life,382
under the domim tree,383
butterfly kiss,384
angus,385
priest daens,386
faces,387
cosi,388
mulholland falls,389
oliver & company,390
dead man,391
the horseman on the roof,392
switchblade sisters,393
the visitors,394
"the haunted world of edward d. wood, jr.",395
the craft,396
cold comfort farm,397
"institute benjamenta, or this dream people call human life",398
the rock,399
cemetery man,400
twister,401
ghost in the shell,402
a close shave,403
force of evil,404
the arrival,405
dr. strangelove or: how i learned to stop worrying and love the bomb,406
careful,407
a month by the lake,408
kim,409
carmen miranda: bananas is my business,410
ashes of time,411
the jar,412
stalingrad,413
heavy,414
i shot andy warhol,415
the grass harp,416
life is rosy,417
touki bouki,418
pharaoh's  army,419
trainspotting,420
independence day,421
stealing beauty,422
the hunchback of notre dame,423
kingpin,424
the gate of heavenly peace,425
"i, the worst of all",426
an unforgettable summer,427
my life and times with antonin artaud,428
midnight dancers,429
a very natural thing,430
the frighteners,431
lone star,432
phenomenon,433
walking and talking,434
a time to kill,435
american buffalo,436
rendezvous in paris,437
two deaths,438
death in the garden,439
hedd wyn,440
la collectionneuse,441
kaspar hauser,442
the convent,443
the first wives club,444
stonewall,445
ransom,446
foxfire,447
matilda,448
emma,449
eyes without a face,450
lotto land,451
the day the sun turned cold,452
flirt,453
the spitfire grill,454
cyclo,455
basquiat,456
the ballad of narayama,457
the godfather,458
maybe... maybe not,459
police story 3: supercop,460
manny & lo,461
small faces,462
bound,463
death in brunswick,464
kansas city,465
vive l'amour,466
killer: a journal of murder,467
bye-bye,468
the trigger effect,469
talk of angels,470
the land before time iii: the time of the great giving,471
twelfth night,472
mother night,473
liebelei,474
venice,475
wild reeds,476
for whom the bell tolls,477
the philadelphia story,478
singin' in the rain,479
an american in paris,480
funny face,481
breakfast at tiffany's,482
vertigo,483
rear window,484
it happened one night,485
gaslight,486
the gay divorcee,487
north by northwest,488
the apartment,489
some like it hot,490
charade,491
casablanca,492
the maltese falcon,493
my fair lady,494
sabrina,495
roman holiday,496
the little princess,497
meet me in st. louis,498
the wizard of oz,499
gone with the wind,500
my favorite year,501
sunset boulevard,502
citizen kane,503
2001: a space odyssey,504
all about eve,505
the women,506
rebecca,507
foreign correspondent,508
notorious,509
spellbound,510
an affair to remember,511
to catch a thief,512
father of the bride,513
the band wagon,514
ninotchka,515
love in the afternoon,516
gigi,517
the reluctant debutante,518
the adventures of robin hood,519
the mark of zorro,520
laura,521
the ghost and mrs. muir,522
lost horizon,523
top hat,524
to be or not to be,525
my man godfrey,526
giant,527
east of eden,528
the thin man,529
his girl friday,530
around the world in eighty days,531
it's a wonderful life,532
mr. smith goes to washington,533
bringing up baby,534
penny serenade,535
the scarlet letter,536
of human bondage,537
little lord fauntleroy,538
the inspector general,539
angel and the badman,540
the 39 steps,541
night of the living dead,542
the african queen,543
beat the devil,544
cat on a hot tin roof,545
meet john doe,546
a farewell to arms,547
a farewell to arms,548
a farewell to arms,549
a farewell to arms,550
a farewell to arms,551
a farewell to arms,552
a farewell to arms,553
a farewell to arms,554
"yes, madam",555
picnic,556
fly away home,557
grace of my heart,558
brother of sleep,559
michael collins,560
big night,561
last man standing,562
caught,563
set it off,564
curdled,565
the apple dumpling gang,566
escape to witch mountain,567
old yeller,568
the parent trap,569
pollyanna,570
homeward bound: the incredible journey,571
the shaggy dog,572
swiss family robinson,573
that darn cat!,574
"20,000 leagues under the sea",575
cool runnings,576
cinderella,577
winnie the pooh and the blustery day,578
the three caballeros,579
the sword in the stone,580
so dear to my heart,581
robin hood: prince of thieves,582
mary poppins,583
dumbo,584
pete's dragon,585
bedknobs and broomsticks,586
alice in wonderland,587
the fox and the hound,588
freeway,589
the sound of music,590
die hard,591
unhook the stars,592
secrets & lies,593
that thing you do!,594
beautiful thing,595
the long kiss goodnight,596
the ghost and the darkness,597
looking for richard,598
trees lounge,599
normal life,600
get on the bus,601
jude,602
everyone says i love you,603
bitter sugar,604
romeo + juliet,605
swingers,606
sleepers,607
the sunchaser,608
aladdin and the king of thieves,609
shall we dance,610
a damsel in distress,611
crossfire,612
"murder, my sweet",613
for the moment,614
willy wonka & the chocolate factory,615
the innocents,616
sleeper,617
bananas,618
a fish called wanda,619
life of brian,620
victor/victoria,621
the candidate,622
the great race,623
bonnie and clyde,624
dial m for murder,625
dirty dancing,626
reservoir dogs,627
platoon,628
weekend at bernie's,629
basic instinct,630
the doors,631
the crying game,632
glengarry glen ross,633
sophie's choice,634
e.t. the extra-terrestrial,635
the search for one-eye jimmy,636
a christmas carol,637
top gun,638
american strays,639
rebel without a cause,640
a streetcar named desire,641
microcosmos,642
the associate,643
the funeral,644
the sleepover,645
a single girl,646
the eighth day,647
the people vs. larry flynt,648
on golden pond,649
the return of the pink panther,650
the abyss,651
the fog,652
escape from new york,653
the howling,654
jean de florette,655
manon of the spring,656
johnny 100 pesos,657
monty python and the holy grail,658
hustler white,659
dadetown,660
three lives and only one death,661
when we were kings,662
the wrong trousers,663
jlg/jlg: self-portrait in december,664
the return of martin guerre,665
faust,666
he walked by night,667
raw deal,668
t-men,669
the children are watching us,670
here comes cookie,671
the tin drum,672
the ruling class,673
2 or 3 things i know about her,674
bob roberts,675
cinema paradiso,676
"the cook, the thief, his wife & her lover",677
delicatessen,678
the double life of veronique,679
enchanted april,680
paths of glory,681
the grifters,682
the english patient,683
mediterraneo,684
my left foot: the story of christy brown,685
"sex, lies, and videotape",686
passion fish,687
strictly ballroom,688
the thin blue line,689
tie me up! tie me down!,690
madonna: truth or dare,691
paris is burning,692
one flew over the cuckoo's nest,693
up in smoke,694
the empire strikes back,695
the princess bride,696
raiders of the lost ark,697
brazil,698
aliens,699
"the good, the bad and the ugly",700
withnail & i,701
12 angry men,702
lawrence of arabia,703
a clockwork orange,704
to kill a mockingbird,705
apocalypse now,706
once upon a time in the west,707
return of the jedi,708
wings of desire,709
the third man,710
goodfellas,711
alien,712
army of darkness,713
the big blue,714
ran,715
the killer,716
psycho,717
the blues brothers,718
the godfather: part ii,719
full metal jacket,720
a grand day out,721
henry v,722
amadeus,723
the quiet man,724
once upon a time in america,725
raging bull,726
annie hall,727
the right stuff,728
stalker,729
das boot,730
the sting,731
harold and maude,732
trust,733
the seventh seal,734
local hero,735
the terminator,736
braindead,737
glory,738
rosencrantz & guildenstern are dead,739
manhattan,740
miller's crossing,741
dead poets society,742
the graduate,743
touch of evil,744
la femme nikita,745
the bridge on the river kwai,746
8½,747
chinatown,748
the day the earth stood still,749
the treasure of the sierra madre,750
bad taste,751
duck soup,752
better off dead...,753
the shining,754
stand by me,755
m,756
evil dead ii,757
the great escape,758
the deer hunter,759
diva,760
groundhog day,761
unforgiven,762
the manchurian candidate,763
pump up the volume,764
arsenic and old lace,765
back to the future,766
fried green tomatoes,767
patton,768
down by law,769
akira,770
highlander,771
cool hand luke,772
cyrano de bergerac,773
young frankenstein,774
night on earth,775
raise the red lantern,776
the great dictator,777
fantasia,778
high noon,779
the big sleep,780
heathers,781
somewhere in time,782
ben-hur,783
this is spinal tap,784
koyaanisqatsi,785
some kind of wonderful,786
indiana jones and the last crusade,787
being there,788
gandhi,789
the unbearable lightness of being,790
a room with a view,791
real genius,792
pink floyd: the wall,793
the killing fields,794
my life as a dog,795
forbidden planet,796
field of dreams,797
the man who would be king,798
butch cassidy and the sundance kid,799
"paris, texas",800
until the end of the world,801
when harry met sally...,802
hype!,803
mad dog time,804
paris was a woman,805
i'm not rappaport,806
alien³,807
an american werewolf in london,808
the amityville horror,809
the believers,810
the birds,811
the blob,812
the body snatcher,813
dracula,814
bride of frankenstein,815
burnt offerings,816
candyman,817
cape fear,818
cape fear,819
carrie,820
a nightmare on elm street,821
nosferatu,822
vampire in venice,823
the omen,824
the mirror has two faces,825
breaking the waves,826
nightwatch,827
star trek: first contact,828
shine,829
sling blade,830
paradise lost: the child murders at robin hood hills,831
zero kelvin,832
ridicule,833
the crucible,834
die hard 2,835
star trek: the motion picture,836
star trek vi: the undiscovered country,837
star trek ii: the wrath of khan,838
star trek iii: the search for spock,839
star trek iv: the voyage home,840
batman returns,841
young guns,842
young guns ii,843
grease,844
under siege,845
terror in a texas town,846
jaws,847
my fellow americans,848
mars attacks!,849
citizen ruth,850
jerry maguire,851
raising arizona,852
tin men,853
sneakers,854
bastard out of carolina,855
marvin's room,856
ghosts of mississippi,857
night falls on manhattan,858
beavis and butt-head do america,859
la cérémonie,860
scream,861
the last of the mohicans,862
hamlet,863
some mother's son,864
the whole wide world,865
mother,866
thieves,867
the portrait of a lady,868
walkabout,869
message to love: the isle of wight festival,870
angel baby,871
first strike,872
falling in love again,873
the cement garden,874
benny & joon,875
prefontaine,876
guantanamera,877
kolya,878
gridlock'd,879
waiting for guffman,880
prisoner of the mountains,881
suburbia,882
absolute power,883
unforgotten: twenty-five years after willowbrook,884
that old feeling,885
lost highway,886
rosewood,887
donnie brasco,888
rhyme & reason,889
private parts,890
love jones,891
smilla's sense of snow,892
crash,893
the daytrippers,894
liar liar,895
selena,896
cats don't dance,897
anna karenina,898
inventing the abbotts,899
grosse pointe blank,900
kissed,901
hollow reed,902
paradise road,903
a brother's kiss,904
temptress moon,905
austin powers: international man of mystery,906
breakdown,907
broken english,908
the fifth element,909
intimate relations,910
nowhere,911
le bonheur,912
shall we dance?,913
twin town,914
addicted to love,915
brassed off,916
the designated mourner,917
the lost world: jurassic park,918
ponette,919
schizopolis,920
the war at home,921
rough magic,922
con air,923
the pillow book,924
dream with the fishes,925
roseanna's grave,926
hercules,927
the last time i committed suicide,928
murder and murder,929
my best friend's wedding,930
when the cat's away,931
contempt,932
face/off,933
fall,934
gabbeh,935
mondo,936
for ever mozart,937
men in black,938
contact,939
conan the barbarian,940
cop land,941
event horizon,942
in the company of men,943
career girls,944
conspiracy theory,945
hoodlum,946
air force one,947
one eight seven,948
the hunt for red october,949
my own private idaho,950
in & out,951
the edge,952
l.a. confidential,953
seven years in tibet,954
kiss the girls,955
soul food,956
the game,957
u turn,958
the matchmaker,959
the assignment,960
ulee's gold,961
the ice storm,962
chasing amy,963
the full monty,964
mrs brown,965
the devil's advocate,966
the house of yes,967
"fast, cheap & out of control",968
washington square,969
telling lies in america,970
gattaca,971
fairytale: a true story,972
swept from the sea,973
a life less ordinary,974
eve's bayou,975
gang related,976
stripes,977
nenette and boni,978
bean,979
the tango lesson,980
welcome to sarajevo,981
deceiver,982
the rainmaker,983
boogie nights,984
witness,985
incognito,986
starship troopers,987
critical care,988
the joy luck club,989
sliding doors,990
the truman show,991
the wings of the dove,992
the jackal,993
anastasia,994
the man who knew too little,995
amistad,996
the apostle,997
artemisia,998
bent,999
the butcher boy,1000
deconstructing harry,1001
good will hunting,1002
midnight in the garden of good and evil,1003
mousehunt,1004
other voices other rooms,1005
scream 2,1006
the sweet hereafter,1007
titanic,1008
full speed,1009
the postman,1010
the horse whisperer,1011
the winter guest,1012
jackie brown,1013
kundun,1014
the big lebowski,1015
afterglow,1016
my life in pink,1017
great expectations,1018
wag the dog,1019
dark city,1020
half baked,1021
fallen,1022
shooting fish,1023
fallen angels,1024
four days in september,1025
mother and son,1026
tokyo fist,1027
ride,1028
the wedding singer,1029
ayn rand: a sense of life,1030
as good as it gets,1031
king of new york,1032
twilight,1033
u.s. marshals,1034
welcome to woop woop,1035
love and death on long island,1036
midaq alley,1037
everest,1038
suicide kings,1039
the man in the iron mask,1040
wild things,1041
fireworks,1042
primary colors,1043
"niagara, niagara",1044
storefront hitchcock,1045
the players club,1046
the big one,1047
the spanish prisoner,1048
city of angels,1049
the last days of disco,1050
the odd couple ii,1051
he got game,1052
live flesh,1053
nil by mouth,1054
leather jacket love story,1055
mr. nice guy,1056
taste of cherry,1057
character,1058
wild man blues,1059
the big hit,1060
"dancer, texas pop. 81",1061
les misérables,1062
lawn dogs,1063
quest for camelot,1064
bulworth,1065
fear and loathing in las vegas,1066
insomnia,1067
little boy blue,1068
a perfect murder,1069
beyond silence,1070
can't hardly wait,1071
high art,1072
the land girls,1073
children of heaven,1074
dream for an insomniac,1075
henry fool,1076
mr. jealousy,1077
mulan,1078
resurrection man,1079
the x files,1080
i went down,1081
out of sight,1082
picnic at hanging rock,1083
smoke signals,1084
buffalo '66,1085
armageddon,1086
lethal weapon 4,1087
small soldiers,1088
pi,1089
whatever,1090
there's something about mary,1091
wings,1092
all quiet on the western front,1093
grand hotel,1094
mutiny on the bounty,1095
the great ziegfeld,1096
the life of emile zola,1097
you can't take it with you,1098
how green was my valley,1099
mrs. miniver,1100
going my way,1101
the lost weekend,1102
the best years of our lives,1103
gentleman's agreement,1104
hamlet,1105
all the king's men,1106
the greatest show on earth,1107
from here to eternity,1108
on the waterfront,1109
marty,1110
west side story,1111
tom jones,1112
a man for all seasons,1113
in the heat of the night,1114
oliver!,1115
midnight cowboy,1116
the french connection,1117
rocky,1118
kramer vs. kramer,1119
ordinary people,1120
chariots of fire,1121
terms of endearment,1122
out of africa,1123
the last emperor,1124
rain man,1125
driving miss daisy,1126
take the money and run,1127
klute,1128
repo man,1129
metropolitan,1130
labyrinth,1131
the breakfast club,1132
a nightmare on elm street 3: dream warriors,1133
friday the 13th,1134
halloween,1135
halloween ii,1136
child's play,1137
poltergeist,1138
the exorcist,1139
the exorcist iii,1140
lethal weapon,1141
lethal weapon 2,1142
lethal weapon 3,1143
gremlins,1144
gremlins 2: the new batch,1145
the goonies,1146
the mask of zorro,1147
soylent green,1148
metropolis,1149
back to the future part ii,1150
back to the future part iii,1151
the poseidon adventure,1152
freaky friday,1153
the absent-minded professor,1154
the apple dumpling gang rides again,1155
bambi,1156
seven samurai,1157
dangerous liaisons,1158
dune,1159
the last temptation of christ,1160
the godfather: part iii,1161
the rapture,1162
lolita,1163
saving private ryan,1164
east palace west palace,1165
the black cauldron,1166
the black hole,1167
blackbeard's ghost,1168
candleshoe,1169
darby o'gill and the little people,1170
the devil and max devlin,1171
a far off place,1172
flight of the navigator,1173
the great mouse detective,1174
hocus pocus,1175
"honey, i shrunk the kids",1176
in search of the castaways,1177
the incredible journey,1178
the negotiator,1179
the parent trap,1180
full tilt boogie,1181
the governess,1182
roger & me,1183
the purple rose of cairo,1184
out of the past,1185
doctor zhivago,1186
fanny & alexander,1187
the trip to bountiful,1188
tender mercies,1189
the 'burbs,1190
fandango,1191
the night porter,1192
mephisto,1193
blue velvet,1194
the journey of natty gann,1195
the jungle book,1196
kidnapped,1197
lady and the tramp,1198
the little mermaid,1199
the mighty ducks,1200
the muppet christmas carol,1201
newsies,1202
one hundred and one dalmatians,1203
peter pan,1204
the rescuers down under,1205
the rescuers,1206
return to oz,1207
the rocketeer,1208
sleeping beauty,1209
something wicked this way comes,1210
son of flubber,1211
song of the south,1212
splash,1213
squanto: a warrior's tale,1214
steamboat willie,1215
tall tale,1216
tron,1217
swing kids,1218
l.a. story,1219
the jerk,1220
dead men don't wear plaid,1221
the man with two brains,1222
grand canyon,1223
the outsiders,1224
indiana jones and the temple of doom,1225
the lord of the rings,1226
nineteen eighty-four,1227
the dead zone,1228
all dogs go to heaven,1229
the addams family,1230
ever after: a cinderella story,1231
safe men,1232
the saltmen of tibet,1233
atlantic city,1234
autumn sonata,1235
who's afraid of virginia woolf?,1236
adventures in babysitting,1237
weird science,1238
the nutty professor,1239
charlotte's web,1240
watership down,1241
the secret of nimh,1242
the dark crystal,1243
an american tail,1244
an american tail: fievel goes west,1245
legend,1246
sixteen candles,1247
pretty in pink,1248
the gods must be crazy,1249
the gods must be crazy ii,1250
slums of beverly hills,1251
henry: portrait of a serial killer,1252
rosemary's baby,1253
the neverending story,1254
return to paradise,1255
blade,1256
all i wanna do,1257
the navigator: a medieval odyssey,1258
beetlejuice,1259
déjà vu,1260
rope,1261
family plot,1262
frenzy,1263
topaz,1264
torn curtain,1265
marnie,1266
the wrong man,1267
the man who knew too much,1268
the trouble with harry,1269
i confess,1270
strangers on a train,1271
stage fright,1272
i married a strange person!,1273
why do fools fall in love,1274
keep the aspidistra flying,1275
see the sea,1276
willow,1277
the untouchables,1278
dirty work,1279
firelight,1280
modulations,1281
under capricorn,1282
the paradine case,1283
lifeboat,1284
shadow of a doubt,1285
saboteur,1286
suspicion,1287
the lady vanishes,1288
young and innocent,1289
sabotage,1290
secret agent,1291
the man who knew too much,1292
murder!,1293
blackmail,1294
the farmer's wife,1295
downhill,1296
the ring,1297
the lodger: a story of the london fog,1298
rounders,1299
cube,1300
digging to china,1301
one man's hero,1302
simon birch,1303
without limits,1304
seven beauties,1305
swept away,1306
my bodyguard,1307
broadcast news,1308
working girl,1309
say anything...,1310
men don't leave,1311
hero,1312
one crazy summer,1313
a few good men,1314
one true thing,1315
rush hour,1316
a soldier's daughter never cries,1317
ronin,1318
clay pigeons,1319
monument ave.,1320
the sheltering sky,1321
bandit queen,1322
if....,1323
them!,1324
the thing,1325
the player,1326
stardust memories,1327
edward scissorhands,1328
shadrach,1329
what dreams may come,1330
the battle of the sexes,1331
the producers,1332
history of the world: part i,1333
my cousin vinny,1334
nashville,1335
love is the devil: study for a portrait of francis bacon,1336
slam,1337
the inheritors,1338
the mighty,1339
2010,1340
children of a lesser god,1341
the elephant man,1342
practical magic,1343
happiness,1344
reach the rock,1345
apt pupil,1346
pleasantville,1347
soldier,1348
the cruise,1349
life is beautiful,1350
orgazmo,1351
american history x,1352
hands on a hard body: the documentary,1353
belly,1354
gods and monsters,1355
the siege,1356
elizabeth,1357
velvet goldmine,1358
meet joe black,1359
hard core logo,1360
runaway train,1361
the stepford wives,1362
the pope of greenwich village,1363
sid & nancy,1364
mona lisa,1365
nights of cabiria,1366
the big chill,1367
enemy of the state,1368
a bug's life,1369
central station,1370
savior,1371
waking ned,1372
the celebration,1373
pink flamingos,1374
godzilla,1375
godzilla 1985,1376
king kong,1377
the emerald forest,1378
fletch,1379
gung ho,1380
the money pit,1381
lifeforce,1382
police academy,1383
very bad things,1384
steam: the turkish bath,1385
little voice,1386
a simple plan,1387
star trek: insurrection,1388
the prince of egypt,1389
rushmore,1390
shakespeare in love,1391
mass appeal,1392
miracle on 34th street,1393
santa claus: the movie,1394
pale rider,1395
rambo: first blood part ii,1396
first blood,1397
romancing the stone,1398
cocoon,1399
rocky ii,1400
rocky iii,1401
rocky iv,1402
clue,1403
young sherlock holmes,1404
back to school,1405
nothing in common,1406
the karate kid,1407
national lampoon's christmas vacation,1408
you've got mail,1409
the general,1410
the thin red line,1411
the faculty,1412
mighty joe young,1413
patch adams,1414
stepmom,1415
a civil action,1416
down in the delta,1417
wilde,1418
another day in paradise,1419
hilary and jackie,1420
playing by heart,1421
24 7: twenty four seven,1422
the fly,1423
the fly,1424
running scared,1425
the texas chain saw massacre,1426
ruthless people,1427
the name of the rose,1428
crocodile dundee,1429
the color of money,1430
heartbreak ridge,1431
¡three amigos!,1432
my name is joe,1433
still crazy,1434
the day of the beast,1435
peeping tom,1436
payback,1437
comedian harmonists,1438
the last days,1439
fantastic planet,1440
blast from the past,1441
"god said, 'ha!'",1442
october sky,1443
office space,1444
the apple,1445
200 cigarettes,1446
8mm,1447
the long goodbye,1448
the ballad of narayama,1449
pet sematary,1450
christine,1451
house on haunted hill,1452
airport,1453
the towering inferno,1454
westworld,1455
logan's run,1456
planet of the apes,1457
beneath the planet of the apes,1458
conquest of the planet of the apes,1459
escape from the planet of the apes,1460
the dancemaker,1461
analyze this,1462
the corruptor,1463
cruel intentions,1464
"lock, stock and two smoking barrels",1465
six ways to sunday,1466
the haunting,1467
dead ringers,1468
village of the damned,1469
i stand alone,1470
ravenous,1471
true crime,1472
dangerous beauty,1473
the king and i,1474
a walk on the moon,1475
the matrix,1476
10 things i hate about you,1477
tango,1478
the dreamlife of angels,1479
metroland,1480
following,1481
go,1482
twin dragons,1483
cookie's fortune,1484
foolish,1485
lovers of the arctic circle,1486
life,1487
hideous kinky,1488
the monster,1489
open your eyes,1490
slc punk,1491
election,1492
existenz,1493
nô,1494
idle hands,1495
get real,1496
heaven,1497
the king of masks,1498
three seasons,1499
the winslow boy,1500
mildred pierce,1501
night of the comet,1502
my science project,1503
the mummy,1504
the castle,1505
xiu xiu: the sent-down girl,1506
a midsummer night's dream,1507
after life,1508
star wars: episode i - the phantom menace,1509
besieged,1510
the saragossa manuscript,1511
the mummy,1512
the mummy,1513
the mummy's curse,1514
the mummy's ghost,1515
the mummy's hand,1516
the mummy's tomb,1517
mommie dearest,1518
superman,1519
superman ii,1520
dracula,1521
house of frankenstein,1522
frankenstein,1523
son of frankenstein,1524
the ghost of frankenstein,1525
frankenstein meets the wolf man,1526
the curse of frankenstein,1527
son of dracula,1528
the wolf man,1529
tarantula,1530
the rocky horror picture show,1531
the thing from another world,1532
it came from outer space,1533
the war of the worlds,1534
invasion of the body snatchers,1535
pork chop hill,1536
"run silent, run deep",1537
notting hill,1538
the thirteenth floor,1539
eternity and a day,1540
instinct,1541
buena vista social club,1542
a place at the table,1543
a place at the table,1544
a place at the table,1545
a place at the table,1546
a place at the table,1547
a place at the table,1548
a place at the table,1549
a place at the table,1550
limbo,1551
austin powers: the spy who shagged me,1552
the red violin,1553
tarzan,1554
the general's daughter,1555
get bruce!,1556
an ideal husband,1557
the legend of 1900,1558
run lola run,1559
trekkies,1560
big daddy,1561
the boys,1562
the dinner game,1563
arachnophobia,1564
"south park: bigger, longer & uncut",1565
