index, title
217,It Could Happen to You
218,"The Wonderful, Horrible Life of Leni Riefenstahl"
219,The Lion King
220,New Nightmare
221,The Mask
222,Maverick
223,Mrs. Parker and the Vicious Circle
224,The Naked Gun 33⅓: The Final Insult
225,The Paper
226,Reality Bites
227,Red Rock West
228,The River Wild
229,Speed
230,True Lies
231,Wyatt Earp
232,A Man of No Importance
233,S.F.W.
234,"Faster, Pussycat! Kill! Kill!"
235,The Secret Adventures of Tom Thumb
236,Coldblooded
237,Fall Time
238,Frank and Ollie
239,Girl in the Cadillac
240,In the Mouth of Madness
241,8 Seconds
242,Above the Rim
243,Addams Family Values
244,The Age of Innocence
245,Barcelona
246,Black Beauty
247,Blink
248,Blue Sky
249,A Bronx Tale
250,Carlito's Way
251,Cliffhanger
252,Dave
253,Dazed and Confused
254,Demolition Man
255,The Endless Summer 2
256,Farewell My Concubine
257,Fearless
258,With Honors
259,Flesh and Bone
260,The Firm
261,Fresh
262,The Fugitive
263,Hard Target
264,Heaven & Earth
265,Hot Shots! Part Deux
266,The Englishman Who Went Up a Hill But Came Down a Mountain
267,The House of the Spirits
268,The Hudsucker Proxy
269,In the Line of Fire
270,In the Name of the Father
271,What's Love Got to Do with It
272,Judgment Night
273,Jurassic Park
274,Kalifornia
275,Killing Zoe
276,King of the Hill
277,Lassie
278,Last Action Hero
279,M. Butterfly
280,The Man without a Face
281,Manhattan Murder Mystery
282,Menace II Society
283,In the Realm of the Senses
284,What Happened Was...
285,Much Ado About Nothing
286,Mrs. Doubtfire
287,Naked
288,No Escape
289,Orlando
290,A Perfect World
291,Philadelphia
292,The Piano
293,Poetic Justice
294,The Ref
295,The Remains of the Day
296,Robin Hood: Men in Tights
297,Romper Stomper
298,Rudy
299,Savage Nights
300,Schindler's List
301,Searching for Bobby Fischer
302,The Secret Garden
303,Serial Mom
304,Shadowlands
305,Short Cuts
306,Six Degrees of Separation
307,Sleepless in Seattle
308,Blade Runner
309,So I Married an Axe Murderer
310,Surviving the Game
311,Thirty Two Short Films About Glenn Gould
312,Threesome
313,The Nightmare Before Christmas
314,The Three Musketeers
315,Tombstone
316,True Romance
317,The War Room
318,The Pagemaster
319,Welcome to the Dollhouse
320,Germinal
321,Cronos
322,Kika
323,The Slingshot
324,"Ciao, Professore!"
325,The Little Rascals
326,The Celluloid Closet
327,Café au Lait
328,Dear Diary
329,Home Alone
330,Ghost
331,Aladdin
332,Terminator 2: Judgment Day
333,Dances with Wolves
334,Tough and Deadly
335,Batman
336,The Silence of the Lambs
337,Snow White and the Seven Dwarfs
338,Beauty and the Beast
339,Pinocchio
340,Pretty Woman
341,The Wild Bunch
342,The Wooden Man's Bride
343,A Great Day in Harlem
344,Bye Bye Love
345,One Fine Day
346,Fargo
347,Heavy Metal
348,Jane Eyre
349,Bread and Chocolate
350,The Aristocats
351,The Flower of My Secret
352,Scream of Stone
353,My Favorite Season
354,Halfaouine: Boy of the Terraces
355,The Last Supper
356,Primal Fear
357,Land and Freedom
358,Denise Calls Up
359,Nelly and Monsieur Arnaud
360,Courage Under Fire
361,Mission: Impossible
362,Cold Fever
363,Moll Flanders
364,"301, 302"
365,DragonHeart
366,Purple Noon
367,James and the Giant Peach
368,Fear
369,Underground
370,All Things Fair
371,Pather Panchali
372,The World of Apu
373,Mystery Science Theater 3000: The Movie
374,Space Jam
375,Hostile Intentions
376,Some Folks Call It a Sling Blade
377,The Run of the Country
378,Alphaville
379,Coup de Torchon
380,Tigrero: A Film That Was Never Made
381,It's My Party
382,Country Life
383,Under The Domim Tree
384,Butterfly Kiss
385,Angus
386,Priest Daens
387,Faces
388,Cosi
389,Mulholland Falls
390,Oliver & Company
391,Dead Man
392,The Horseman on the Roof
393,Switchblade Sisters
394,The Visitors
395,"The Haunted World of Edward D. Wood, Jr."
396,The Craft
397,Cold Comfort Farm
398,"Institute Benjamenta, or This Dream People Call Human Life"
399,The Rock
400,Cemetery Man
401,Twister
402,Ghost in the Shell
403,A Close Shave
404,Force of Evil
405,The Arrival
406,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
407,Careful
408,A Month by the Lake
409,Kim
410,Carmen Miranda: Bananas Is My Business
411,Ashes of Time
412,The Jar
413,Stalingrad
414,Heavy
415,I Shot Andy Warhol
416,The Grass Harp
417,Life is Rosy
418,Touki Bouki
419,Pharaoh's  Army
420,Trainspotting
421,Independence Day
422,Stealing Beauty
423,The Hunchback of Notre Dame
424,Kingpin
425,The Gate of Heavenly Peace
426,"I, the Worst of All"
427,An Unforgettable Summer
428,My Life and Times With Antonin Artaud
429,Midnight Dancers
430,A Very Natural Thing
431,The Frighteners
432,Lone Star
433,Phenomenon
434,Walking and Talking
435,A Time to Kill
436,American Buffalo
437,Rendezvous in Paris
438,Two Deaths
439,Death in the Garden
440,Hedd Wyn
441,La Collectionneuse
442,Kaspar Hauser
443,The Convent
444,The First Wives Club
445,Stonewall
446,Ransom
447,Foxfire
448,Matilda
449,Emma
450,Eyes Without a Face
451,Lotto Land
452,The Day the Sun Turned Cold
453,Flirt
454,The Spitfire Grill
455,Cyclo
456,Basquiat
457,The Ballad of Narayama
458,The Godfather
459,Maybe... Maybe Not
460,Police Story 3: Supercop
461,Manny & Lo
462,Small Faces
463,Bound
464,Death in Brunswick
465,Kansas City
466,Vive L'Amour
467,Killer: A Journal of Murder
468,Bye-Bye
469,The Trigger Effect
470,Talk of Angels
471,The Land Before Time III: The Time of the Great Giving
472,Twelfth Night
473,Mother Night
474,Liebelei
475,Venice
476,Wild Reeds
477,For Whom the Bell Tolls
478,The Philadelphia Story
479,Singin' in the Rain
480,An American in Paris
481,Funny Face
482,Breakfast at Tiffany's
483,Vertigo
484,Rear Window
485,It Happened One Night
486,Gaslight
487,The Gay Divorcee
488,North by Northwest
489,The Apartment
490,Some Like It Hot
491,Charade
492,Casablanca
493,The Maltese Falcon
494,My Fair Lady
495,Sabrina
496,Roman Holiday
497,The Little Princess
498,Meet Me in St. Louis
499,The Wizard of Oz
500,Gone with the Wind
501,My Favorite Year
502,Sunset Boulevard
503,Citizen Kane
504,2001: A Space Odyssey
505,All About Eve
506,The Women
507,Rebecca
508,Foreign Correspondent
509,Notorious
510,Spellbound
511,An Affair to Remember
512,To Catch a Thief
513,Father of the Bride
514,The Band Wagon
515,Ninotchka
516,Love in the Afternoon
517,Gigi
518,The Reluctant Debutante
519,The Adventures of Robin Hood
520,The Mark of Zorro
521,Laura
522,The Ghost and Mrs. Muir
523,Lost Horizon
524,Top Hat
525,To Be or Not to Be
526,My Man Godfrey
527,Giant
528,East of Eden
529,The Thin Man
530,His Girl Friday
531,Around the World in Eighty Days
532,It's a Wonderful Life
533,Mr. Smith Goes to Washington
534,Bringing Up Baby
535,Penny Serenade
536,The Scarlet Letter
537,Of Human Bondage
538,Little Lord Fauntleroy
539,The Inspector General
540,Angel and the Badman
541,The 39 Steps
542,Night of the Living Dead
543,The African Queen
544,Beat the Devil
545,Cat on a Hot Tin Roof
546,Meet John Doe
547,A Farewell to Arms
548,A Farewell to Arms
549,A Farewell to Arms
550,A Farewell to Arms
551,A Farewell to Arms
552,A Farewell to Arms
553,A Farewell to Arms
554,A Farewell to Arms
555,"Yes, Madam"
556,Picnic
557,Fly Away Home
558,Grace of My Heart
559,Brother of Sleep
560,Michael Collins
561,Big Night
562,Last Man Standing
563,Caught
564,Set It Off
565,Curdled
566,The Apple Dumpling Gang
567,Escape to Witch Mountain
568,Old Yeller
569,The Parent Trap
570,Pollyanna
571,Homeward Bound: The Incredible Journey
572,The Shaggy Dog
573,Swiss Family Robinson
574,That Darn Cat!
575,"20,000 Leagues Under the Sea"
576,Cool Runnings
577,Cinderella
578,Winnie the Pooh and the Blustery Day
579,The Three Caballeros
580,The Sword in the Stone
581,So Dear to My Heart
582,Robin Hood: Prince of Thieves
583,Mary Poppins
584,Dumbo
585,Pete's Dragon
586,Bedknobs and Broomsticks
587,Alice in Wonderland
588,The Fox and the Hound
589,Freeway
590,The Sound of Music
591,Die Hard
592,Unhook the Stars
593,Secrets & Lies
594,That Thing You Do!
595,Beautiful Thing
596,The Long Kiss Goodnight
597,The Ghost and the Darkness
598,Looking for Richard
599,Trees Lounge
600,Normal Life
601,Get on the Bus
602,Jude
603,Everyone Says I Love You
604,Bitter Sugar
605,Romeo + Juliet
606,Swingers
607,Sleepers
608,The Sunchaser
609,Aladdin and the King of Thieves
610,Shall We Dance
611,A Damsel in Distress
612,Crossfire
613,"Murder, My Sweet"
614,For the Moment
615,Willy Wonka & the Chocolate Factory
616,The Innocents
617,Sleeper
618,Bananas
619,A Fish Called Wanda
620,Life of Brian
621,Victor/Victoria
622,The Candidate
623,The Great Race
624,Bonnie and Clyde
625,Dial M for Murder
626,Dirty Dancing
627,Reservoir Dogs
628,Platoon
629,Weekend at Bernie's
630,Basic Instinct
631,The Doors
632,The Crying Game
633,Glengarry Glen Ross
634,Sophie's Choice
635,E.T. the Extra-Terrestrial
636,The Search for One-eye Jimmy
637,A Christmas Carol
638,Top Gun
639,American Strays
640,Rebel Without a Cause
641,A Streetcar Named Desire
642,Microcosmos
643,The Associate
644,The Funeral
645,The Sleepover
646,A Single Girl
647,The Eighth Day
648,The People vs. Larry Flynt
649,On Golden Pond
650,The Return of the Pink Panther
651,The Abyss
652,The Fog
653,Escape from New York
654,The Howling
655,Jean de Florette
656,Manon of the Spring
657,Johnny 100 Pesos
658,Monty Python and the Holy Grail
659,Hustler White
660,Dadetown
661,Three Lives and Only One Death
662,When We Were Kings
663,The Wrong Trousers
664,JLG/JLG: Self-Portrait in December
665,The Return of Martin Guerre
666,Faust
667,He Walked by Night
668,Raw Deal
669,T-Men
670,The Children Are Watching Us
671,Here Comes Cookie
672,The Tin Drum
673,The Ruling Class
674,2 or 3 Things I Know About Her
675,Bob Roberts
676,Cinema Paradiso
677,"The Cook, the Thief, His Wife & Her Lover"
678,Delicatessen
679,The Double Life of Veronique
680,Enchanted April
681,Paths of Glory
682,The Grifters
683,The English Patient
684,Mediterraneo
685,My Left Foot: The Story of Christy Brown
686,"Sex, Lies, and Videotape"
687,Passion Fish
688,Strictly Ballroom
689,The Thin Blue Line
690,Tie Me Up! Tie Me Down!
691,Madonna: Truth or Dare
692,Paris is Burning
693,One Flew Over the Cuckoo's Nest
694,Up in Smoke
695,The Empire Strikes Back
696,The Princess Bride
697,Raiders of the Lost Ark
698,Brazil
699,Aliens
700,"The Good, the Bad and the Ugly"
701,Withnail & I
702,12 Angry Men
703,Lawrence of Arabia
704,A Clockwork Orange
705,To Kill a Mockingbird
706,Apocalypse Now
707,Once Upon a Time in the West
708,Return of the Jedi
709,Wings of Desire
710,The Third Man
711,GoodFellas
712,Alien
713,Army of Darkness
714,The Big Blue
715,Ran
716,The Killer
717,Psycho
718,The Blues Brothers
719,The Godfather: Part II
720,Full Metal Jacket
721,A Grand Day Out
722,Henry V
723,Amadeus
724,The Quiet Man
725,Once Upon a Time in America
726,Raging Bull
727,Annie Hall
728,The Right Stuff
729,Stalker
730,Das Boot
731,The Sting
732,Harold and Maude
733,Trust
734,The Seventh Seal
735,Local Hero
736,The Terminator
737,Braindead
738,Glory
739,Rosencrantz & Guildenstern Are Dead
740,Manhattan
741,Miller's Crossing
742,Dead Poets Society
743,The Graduate
744,Touch of Evil
745,La Femme Nikita
746,The Bridge on the River Kwai
747,8½
748,Chinatown
749,The Day the Earth Stood Still
750,The Treasure of the Sierra Madre
751,Bad Taste
752,Duck Soup
753,Better Off Dead...
754,The Shining
755,Stand by Me
756,M
757,Evil Dead II
758,The Great Escape
759,The Deer Hunter
760,Diva
761,Groundhog Day
762,Unforgiven
763,The Manchurian Candidate
764,Pump up the Volume
765,Arsenic and Old Lace
766,Back to the Future
767,Fried Green Tomatoes
768,Patton
769,Down by Law
770,Akira
771,Highlander
772,Cool Hand Luke
773,Cyrano de Bergerac
774,Young Frankenstein
775,Night on Earth
776,Raise the Red Lantern
777,The Great Dictator
778,Fantasia
779,High Noon
780,The Big Sleep
781,Heathers
782,Somewhere in Time
783,Ben-Hur
784,This Is Spinal Tap
785,Koyaanisqatsi
786,Some Kind of Wonderful
787,Indiana Jones and the Last Crusade
788,Being There
789,Gandhi
790,The Unbearable Lightness of Being
791,A Room with a View
792,Real Genius
793,Pink Floyd: The Wall
794,The Killing Fields
795,My Life as a Dog
796,Forbidden Planet
797,Field of Dreams
798,The Man Who Would Be King
799,Butch Cassidy and the Sundance Kid
800,"Paris, Texas"
801,Until the End of the World
802,When Harry Met Sally...
803,Hype!
804,Mad Dog Time
805,Paris Was a Woman
806,I'm Not Rappaport
807,Alien³
808,An American Werewolf in London
809,The Amityville Horror
810,The Believers
811,The Birds
812,The Blob
813,The Body Snatcher
814,Dracula
815,Bride of Frankenstein
816,Burnt Offerings
817,Candyman
818,Cape Fear
819,Cape Fear
820,Carrie
821,A Nightmare on Elm Street
822,Nosferatu
823,Vampire in Venice
824,The Omen
825,The Mirror Has Two Faces
826,Breaking the Waves
827,Nightwatch
828,Star Trek: First Contact
829,Shine
830,Sling Blade
831,Paradise Lost: The Child Murders at Robin Hood Hills
832,Zero Kelvin
833,Ridicule
834,The Crucible
835,Die Hard 2
836,Star Trek: The Motion Picture
837,Star Trek VI: The Undiscovered Country
838,Star Trek II: The Wrath of Khan
839,Star Trek III: The Search for Spock
840,Star Trek IV: The Voyage Home
841,Batman Returns
842,Young Guns
843,Young Guns II
844,Grease
845,Under Siege
846,Terror in a Texas Town
847,Jaws
848,My Fellow Americans
849,Mars Attacks!
850,Citizen Ruth
851,Jerry Maguire
852,Raising Arizona
853,Tin Men
854,Sneakers
855,Bastard Out of Carolina
856,Marvin's Room
857,Ghosts of Mississippi
858,Night Falls on Manhattan
859,Beavis and Butt-Head Do America
860,La Cérémonie
861,Scream
862,The Last of the Mohicans
863,Hamlet
864,Some Mother's Son
865,The Whole Wide World
866,Mother
867,Thieves
868,The Portrait of a Lady
869,Walkabout
870,Message to Love: The Isle of Wight Festival
871,Angel Baby
872,First Strike
873,Falling in Love Again
874,The Cement Garden
875,Benny & Joon
876,Prefontaine
877,Guantanamera
878,Kolya
879,Gridlock'd
880,Waiting for Guffman
881,Prisoner of the Mountains
882,SubUrbia
883,Absolute Power
884,Unforgotten: Twenty-Five Years After Willowbrook
885,That Old Feeling
886,Lost Highway
887,Rosewood
888,Donnie Brasco
889,Rhyme & Reason
890,Private Parts
891,Love Jones
892,Smilla's Sense of Snow
893,Crash
894,The Daytrippers
895,Liar Liar
896,Selena
897,Cats Don't Dance
898,Anna Karenina
899,Inventing the Abbotts
900,Grosse Pointe Blank
901,Kissed
902,Hollow Reed
903,Paradise Road
904,A Brother's Kiss
905,Temptress Moon
906,Austin Powers: International Man of Mystery
907,Breakdown
908,Broken English
909,The Fifth Element
910,Intimate Relations
911,Nowhere
912,Le Bonheur
913,Shall We Dance?
914,Twin Town
915,Addicted to Love
916,Brassed Off
917,The Designated Mourner
918,The Lost World: Jurassic Park
919,Ponette
920,Schizopolis
921,The War at Home
922,Rough Magic
923,Con Air
924,The Pillow Book
925,Dream with the Fishes
926,Roseanna's Grave
927,Hercules
928,The Last Time I Committed Suicide
929,MURDER and murder
930,My Best Friend's Wedding
931,When the Cat's Away
932,Contempt
933,Face/Off
934,Fall
935,Gabbeh
936,Mondo
937,For Ever Mozart
938,Men in Black
939,Contact
940,Conan the Barbarian
941,Cop Land
942,Event Horizon
943,In the Company of Men
944,Career Girls
945,Conspiracy Theory
946,Hoodlum
947,Air Force One
948,One Eight Seven
949,The Hunt for Red October
950,My Own Private Idaho
951,In & Out
952,The Edge
953,L.A. Confidential
954,Seven Years in Tibet
955,Kiss the Girls
956,Soul Food
957,The Game
958,U Turn
959,The Matchmaker
960,The Assignment
961,Ulee's Gold
962,The Ice Storm
963,Chasing Amy
964,The Full Monty
965,Mrs Brown
966,The Devil's Advocate
967,The House of Yes
968,"Fast, Cheap & Out of Control"
969,Washington Square
970,Telling Lies In America
971,Gattaca
972,FairyTale: A True Story
973,Swept from the Sea
974,A Life Less Ordinary
975,Eve's Bayou
976,Gang Related
977,Stripes
978,Nenette and Boni
979,Bean
980,The Tango Lesson
981,Welcome to Sarajevo
982,Deceiver
983,The Rainmaker
984,Boogie Nights
985,Witness
986,Incognito
987,Starship Troopers
988,Critical Care
989,The Joy Luck Club
990,Sliding Doors
991,The Truman Show
992,The Wings of the Dove
993,The Jackal
994,Anastasia
995,The Man Who Knew Too Little
996,Amistad
997,The Apostle
998,Artemisia
999,Bent
1000,The Butcher Boy
1001,Deconstructing Harry
1002,Good Will Hunting
1003,Midnight in the Garden of Good and Evil
1004,MouseHunt
1005,Other Voices Other Rooms
1006,Scream 2
1007,The Sweet Hereafter
1008,Titanic
1009,Full Speed
1010,The Postman
1011,The Horse Whisperer
1012,The Winter Guest
1013,Jackie Brown
1014,Kundun
1015,The Big Lebowski
1016,Afterglow
1017,My Life in Pink
1018,Great Expectations
1019,Wag the Dog
1020,Dark City
1021,Half Baked
1022,Fallen
1023,Shooting Fish
1024,Fallen Angels
1025,Four Days in September
1026,Mother and Son
1027,Tokyo Fist
1028,Ride
1029,The Wedding Singer
1030,Ayn Rand: A Sense of Life
1031,As Good as It Gets
1032,King of New York
1033,Twilight
1034,U.S. Marshals
1035,Welcome to Woop Woop
1036,Love and Death on Long Island
1037,Midaq Alley
1038,Everest
1039,Suicide Kings
1040,The Man in the Iron Mask
1041,Wild Things
1042,Fireworks
1043,Primary Colors
1044,"Niagara, Niagara"
1045,Storefront Hitchcock
1046,The Players Club
1047,The Big One
1048,The Spanish Prisoner
1049,City of Angels
1050,The Last Days of Disco
1051,The Odd Couple II
1052,He Got Game
1053,Live Flesh
1054,Nil by Mouth
1055,Leather Jacket Love Story
1056,Mr. Nice Guy
1057,Taste of Cherry
1058,Character
1059,Wild Man Blues
1060,The Big Hit
1061,"Dancer, Texas Pop. 81"
1062,Les Misérables
1063,Lawn Dogs
1064,Quest for Camelot
1065,Bulworth
1066,Fear and Loathing in Las Vegas
1067,Insomnia
1068,Little Boy Blue
1069,A Perfect Murder
1070,Beyond Silence
1071,Can't Hardly Wait
1072,High Art
1073,The Land Girls
1074,Children of Heaven
1075,Dream for an Insomniac
1076,Henry Fool
1077,Mr. Jealousy
1078,Mulan
1079,Resurrection Man
1080,The X Files
1081,I Went Down
1082,Out of Sight
1083,Picnic at Hanging Rock
1084,Smoke Signals
1085,Buffalo '66
1086,Armageddon
1087,Lethal Weapon 4
1088,Small Soldiers
1089,Pi
1090,Whatever
1091,There's Something About Mary
1092,Wings
1093,All Quiet on the Western Front
1094,Grand Hotel
1095,Mutiny on the Bounty
1096,The Great Ziegfeld
1097,The Life of Emile Zola
1098,You Can't Take It With You
1099,How Green Was My Valley
1100,Mrs. Miniver
1101,Going My Way
1102,The Lost Weekend
1103,The Best Years of Our Lives
1104,Gentleman's Agreement
1105,Hamlet
1106,All the King's Men
1107,The Greatest Show on Earth
1108,From Here to Eternity
1109,On the Waterfront
1110,Marty
1111,West Side Story
1112,Tom Jones
1113,A Man for All Seasons
1114,In the Heat of the Night
1115,Oliver!
1116,Midnight Cowboy
1117,The French Connection
1118,Rocky
1119,Kramer vs. Kramer
1120,Ordinary People
1121,Chariots of Fire
1122,Terms of Endearment
1123,Out of Africa
1124,The Last Emperor
1125,Rain Man
1126,Driving Miss Daisy
1127,Take the Money and Run
1128,Klute
1129,Repo Man
1130,Metropolitan
1131,Labyrinth
1132,The Breakfast Club
1133,A Nightmare on Elm Street 3: Dream Warriors
1134,Friday the 13th
1135,Halloween
1136,Halloween II
1137,Child's Play
1138,Poltergeist
1139,The Exorcist
1140,The Exorcist III
1141,Lethal Weapon
1142,Lethal Weapon 2
1143,Lethal Weapon 3
1144,Gremlins
1145,Gremlins 2: The New Batch
1146,The Goonies
1147,The Mask of Zorro
1148,Soylent Green
1149,Metropolis
1150,Back to the Future Part II
1151,Back to the Future Part III
1152,The Poseidon Adventure
1153,Freaky Friday
1154,The Absent-Minded Professor
1155,The Apple Dumpling Gang Rides Again
1156,Bambi
1157,Seven Samurai
1158,Dangerous Liaisons
1159,Dune
1160,The Last Temptation of Christ
1161,The Godfather: Part III
1162,The Rapture
1163,Lolita
1164,Saving Private Ryan
1165,East Palace West Palace
1166,The Black Cauldron
1167,The Black Hole
1168,Blackbeard's Ghost
1169,Candleshoe
1170,Darby O'Gill and the Little People
1171,The Devil and Max Devlin
1172,A Far Off Place
1173,Flight of the Navigator
1174,The Great Mouse Detective
1175,Hocus Pocus
1176,"Honey, I Shrunk the Kids"
1177,In Search of the Castaways
1178,The Incredible Journey
1179,The Negotiator
1180,The Parent Trap
1181,Full Tilt Boogie
1182,The Governess
1183,Roger & Me
1184,The Purple Rose of Cairo
1185,Out of the Past
1186,Doctor Zhivago
1187,Fanny & Alexander
1188,The Trip to Bountiful
1189,Tender Mercies
1190,The 'Burbs
1191,Fandango
1192,The Night Porter
1193,Mephisto
1194,Blue Velvet
1195,The Journey of Natty Gann
1196,The Jungle Book
1197,Kidnapped
1198,Lady and the Tramp
1199,The Little Mermaid
1200,The Mighty Ducks
1201,The Muppet Christmas Carol
1202,Newsies
1203,One Hundred and One Dalmatians
1204,Peter Pan
1205,The Rescuers Down Under
1206,The Rescuers
1207,Return to Oz
1208,The Rocketeer
1209,Sleeping Beauty
1210,Something Wicked This Way Comes
1211,Son of Flubber
1212,Song of the South
1213,Splash
1214,Squanto: A Warrior's Tale
1215,Steamboat Willie
1216,Tall Tale
1217,Tron
1218,Swing Kids
1219,L.A. Story
1220,The Jerk
1221,Dead Men Don't Wear Plaid
1222,The Man with Two Brains
1223,Grand Canyon
1224,The Outsiders
1225,Indiana Jones and the Temple of Doom
1226,The Lord of the Rings
1227,Nineteen Eighty-Four
1228,The Dead Zone
1229,All Dogs Go to Heaven
1230,The Addams Family
1231,Ever After: A Cinderella Story
1232,Safe Men
1233,The Saltmen of Tibet
1234,Atlantic City
1235,Autumn Sonata
1236,Who's Afraid of Virginia Woolf?
1237,Adventures in Babysitting
1238,Weird Science
1239,The Nutty Professor
1240,Charlotte's Web
1241,Watership Down
1242,The Secret of NIMH
1243,The Dark Crystal
1244,An American Tail
1245,An American Tail: Fievel Goes West
1246,Legend
1247,Sixteen Candles
1248,Pretty in Pink
1249,The Gods Must Be Crazy
1250,The Gods Must Be Crazy II
1251,Slums of Beverly Hills
1252,Henry: Portrait of a Serial Killer
1253,Rosemary's Baby
1254,The NeverEnding Story
1255,Return to Paradise
1256,Blade
1257,All I Wanna Do
1258,The Navigator: A Medieval Odyssey
1259,Beetlejuice
1260,Déjà Vu
1261,Rope
1262,Family Plot
1263,Frenzy
1264,Topaz
1265,Torn Curtain
1266,Marnie
1267,The Wrong Man
1268,The Man Who Knew Too Much
1269,The Trouble with Harry
1270,I Confess
1271,Strangers on a Train
1272,Stage Fright
1273,I Married a Strange Person!
1274,Why Do Fools Fall In Love
1275,Keep the Aspidistra Flying
1276,See the Sea
1277,Willow
1278,The Untouchables
1279,Dirty Work
1280,Firelight
1281,Modulations
1282,Under Capricorn
1283,The Paradine Case
1284,Lifeboat
1285,Shadow of a Doubt
1286,Saboteur
1287,Suspicion
1288,The Lady Vanishes
1289,Young and Innocent
1290,Sabotage
1291,Secret Agent
